"","Balance","QualMiles","BonusMiles","BonusTrans","FlightMiles","FlightTrans","DaysSinceEnroll","Cluster"
"273",70676,0,74993,15,0,0,7288,5
"274",18263,0,2100,4,1000,2,7285,4
"275",51250,0,0,0,0,0,7283,4
"276",1704838,0,17108,32,4823,23,7283,1
"277",12895,0,0,0,0,0,7277,4
"278",120073,0,12423,29,0,0,7276,3
"279",2003,0,980,2,0,0,7274,4
"280",22652,0,57642,14,0,0,7271,4
"281",168515,0,4600,4,0,0,7269,4
"282",44873,0,38740,18,850,2,7267,4
"283",190542,1745,8487,9,0,0,7267,4
"284",156230,0,5300,8,1300,5,7260,4
"285",79211,0,36776,14,0,0,7260,4
"286",98006,0,46349,20,2309,3,7332,5
"287",33982,0,68320,17,0,0,7255,5
"288",62998,0,11326,24,0,0,7253,4
"289",137908,0,57713,19,0,0,7250,5
"290",45586,0,37459,15,0,0,7246,4
"291",568174,0,67121,16,1000,2,7243,5
"292",145993,0,95082,17,500,1,7229,5
"293",294881,0,84800,20,0,0,7279,5
"294",12195,0,3875,17,0,0,7229,4
"295",16622,0,0,0,0,0,7229,4
"296",141813,0,39743,14,0,0,7254,4
"297",58139,500,38408,16,150,1,7227,4
"298",238868,0,20521,16,0,0,7220,4
"299",149286,0,42141,30,2400,13,7222,1
"300",35945,0,0,0,0,0,7220,4
"301",28218,0,750,4,750,4,7232,4
"302",7061,0,7100,12,0,0,7218,4
"303",217846,0,49198,20,0,0,7215,5
"304",364387,0,28200,27,0,0,7213,5
"305",125465,0,14750,9,0,0,7206,4
"306",94222,0,52081,24,0,0,7201,5
"307",123370,0,7478,16,0,0,7197,4
"308",383030,2998,8001,25,3226,15,7326,1
"309",112969,0,7572,7,0,0,7192,4
"310",46430,0,2100,4,500,1,7194,4
"311",179433,0,30476,15,0,0,7187,4
"312",20746,0,37534,17,0,0,7185,4
"313",61455,0,28765,17,0,0,7183,4
"314",714717,0,119162,20,1750,4,7183,5
"315",179559,0,17819,12,1000,2,7173,4
"316",119977,2556,9275,16,1400,4,7226,4
"317",16928,0,1000,1,0,0,7173,4
"318",65316,0,3917,10,0,0,7254,4
"319",766419,0,11398,3,398,1,7162,5
"320",52060,0,6500,3,0,0,7162,4
"321",84700,0,13544,17,0,0,7162,4
"322",205523,0,32404,20,1000,2,7159,5
"323",20457,0,51399,16,0,0,7193,4
"324",278727,0,21666,19,9166,16,7155,1
"325",50325,0,11930,14,0,0,7155,4
"326",455228,0,258,2,258,2,7141,4
"327",73849,0,11793,21,0,0,7250,4
"328",388455,0,114329,26,6078,8,7164,1
"329",138999,0,63738,29,600,4,7153,5
"330",65573,0,3875,23,0,0,7130,4
"331",172288,0,66879,10,0,0,7130,5
"332",47958,0,0,0,0,0,7130,4
"333",133002,0,15672,21,150,1,7117,4
"334",42363,0,0,0,0,0,7120,4
"335",133370,0,44299,18,0,0,7101,5
"336",278457,6727,57313,27,1000,2,7101,5
"337",105166,1374,37663,22,0,0,7120,5
"338",34956,0,0,0,0,0,7172,4
"339",46963,0,1500,5,0,0,7117,4
"340",55788,0,24831,12,0,0,7314,4
"341",174910,0,63960,20,200,1,7110,5
"342",13812,0,15149,39,0,0,7110,3
"343",38718,0,0,0,0,0,7314,4
"344",112501,0,19140,11,0,0,7101,4
"345",54005,0,1500,5,0,0,7099,4
"346",66863,0,36532,9,0,0,7099,4
"347",93045,0,17636,15,0,0,7092,4
"348",197328,0,60447,12,0,0,7092,5
"349",151301,0,37772,14,0,0,7092,4
"350",87938,0,11268,2,0,0,7085,4
"351",15283,0,1250,3,0,0,7132,4
"352",105423,0,20802,14,0,0,7078,4
"353",312512,0,100,1,100,1,7078,4
"354",13680,0,0,0,0,0,7073,4
"355",41279,0,14462,20,1650,6,7064,4
"356",25313,0,7491,13,0,0,7064,4
"357",148691,0,3000,3,1000,2,7064,4
"358",224081,0,40108,15,150,2,7059,5
"359",51088,0,0,0,0,0,7057,4
"360",95305,0,3189,13,0,0,7054,4
"361",22080,0,12200,47,1950,9,7050,3
"362",11660,0,140,1,0,0,7050,4
"363",222227,0,38127,14,500,1,7047,5
"364",16200,0,160,1,0,0,7043,4
"365",38227,0,8612,13,0,0,7036,4
"366",80214,0,500,1,500,1,7029,4
"367",53985,0,1000,1,0,0,7029,4
"368",14414,0,0,0,0,0,7024,4
"369",44457,0,225,3,0,0,7026,4
"370",161813,0,126941,20,0,0,7026,5
"371",138020,0,6568,15,0,0,7024,4
"372",107707,0,19407,25,2211,12,7024,1
"373",95656,0,62666,27,0,0,7019,5
"374",149678,0,0,0,0,0,7022,4
"375",15113,0,10574,19,0,0,7017,4
"376",231,0,29900,24,5300,15,7015,1
"377",22380,0,300,2,200,1,7010,4
"378",146263,0,20853,21,350,1,7001,4
"379",24598,0,0,0,0,0,7040,4
"380",76150,0,36907,17,0,0,6998,4
"381",377252,0,230629,30,6393,13,6996,1
"382",167670,0,15907,13,0,0,6994,4
"383",86853,0,42293,21,500,1,6980,5
"384",479989,0,66516,26,1600,6,6980,5
"385",28193,0,103456,32,0,0,6980,5
"386",67086,0,18157,16,0,0,6974,4
"387",35969,0,11665,21,0,0,6977,4
"388",53790,0,28717,19,0,0,8296,4
"389",198859,0,17855,14,500,1,8296,4
"390",91939,0,1244,8,0,0,8296,4
"391",88449,0,11402,18,1450,5,8296,4
"392",54842,0,20792,15,0,0,8296,4
"393",11189,0,9044,20,0,0,8296,4
"394",16999,0,140,1,0,0,8296,4
"395",114713,0,7142,18,0,0,8296,4
"396",1612,0,955,9,0,0,8296,4
"397",97763,0,2000,9,0,0,8296,4
"398",15129,0,0,0,0,0,8296,4
"399",15669,0,1205,4,0,0,8296,4
"400",26720,0,913,3,0,0,8296,4
"401",205292,0,5471,13,0,0,8296,4
"402",56635,0,1024,8,359,2,8296,4
"403",127297,0,8510,12,0,0,8296,4
"404",8927,0,0,0,0,0,8296,4
"405",507506,1952,102279,32,4485,13,8296,1
"406",145723,0,59858,16,0,0,8296,5
"407",6458,0,0,0,0,0,8296,4
"408",267640,0,6000,3,0,0,8296,4
"409",5581,0,0,0,0,0,8296,4
"410",10732,0,1296,6,0,0,8296,4
"411",620498,0,25395,53,1750,14,8296,1
"412",68963,0,37723,15,0,0,8296,4
"413",109640,0,66983,38,5500,17,8296,1
"414",225802,0,74340,16,200,2,8296,5
"415",58452,0,0,0,0,0,8296,4
"416",109087,0,10462,16,0,0,8296,4
"417",68286,0,22831,13,0,0,8296,4
"418",68464,0,240,3,0,0,8296,4
"419",131960,2000,16081,8,0,0,8296,4
"420",199956,1178,0,0,0,0,8296,4
"421",529886,7210,23866,26,7741,15,8296,1
"422",23529,0,500,1,0,0,8296,4
"423",190295,0,3501,15,0,0,8296,4
"424",21083,0,129330,16,1000,2,8296,5
"425",117860,0,62758,15,0,0,8296,5
"426",118844,0,28731,17,400,2,8289,4
"427",60493,0,9000,1,0,0,8289,4
"428",491987,0,68007,23,700,2,8289,5
"429",87692,0,2310,6,500,1,8289,4
"430",78028,0,36269,24,0,0,8289,4
"431",251286,0,0,0,0,0,8289,4
"432",17575,0,0,0,0,0,8289,4
"433",50431,0,1000,1,0,0,8289,4
"434",153597,0,56567,18,0,0,8289,5
"435",74579,0,4600,11,600,8,8289,4
"436",2494,0,0,0,0,0,8289,4
"437",96031,0,46588,21,0,0,8289,5
"438",353678,0,141230,28,1450,5,8289,5
"439",50052,0,49383,13,0,0,8289,4
"440",13381,0,1000,8,0,0,8289,4
"441",25123,0,2030,6,0,0,8289,4
"442",132555,0,24775,31,350,1,8289,5
"443",14528,0,6000,7,3000,6,8289,4
"444",24038,0,6290,14,0,0,8289,4
"445",192104,0,39010,53,1750,8,8289,5
"446",106773,0,12900,10,1400,8,8289,4
"447",229397,0,22873,13,0,0,8289,4
"448",14732,0,100,1,0,0,8289,4
"449",383129,0,23608,16,500,1,8289,5
"450",11431,0,1759,4,759,3,8289,4
"451",175461,0,40997,14,0,0,8289,5
"452",52953,0,500,1,0,0,8289,4
"453",182291,0,24155,22,0,0,8289,4
"454",198317,0,61714,16,0,0,8289,5
"455",49053,0,6498,18,950,5,8289,4
"456",22772,0,0,0,0,0,8289,4
"457",34170,0,15476,20,150,1,8289,4
"458",158483,0,9018,11,0,0,8289,4
"459",43285,0,28613,14,0,0,8252,4
"460",52980,0,17078,14,0,0,8237,4
"461",74342,0,4389,12,0,0,8228,4
"462",139849,0,19946,15,0,0,8228,4
"463",26080,0,9872,13,0,0,8228,4
"464",29469,0,2522,4,0,0,8228,4
"465",189252,0,2991,15,0,0,8228,4
"466",382546,0,136619,34,3000,6,8228,5
"467",1113394,2015,60883,26,2600,9,8228,5
"468",459681,0,95531,17,0,0,8228,5
"469",83590,0,3708,22,0,0,8228,4
"470",82528,0,2100,5,600,4,8228,4
"471",5600,0,125,1,0,0,8228,4
"472",743745,2066,4100,20,2500,18,8228,1
"473",43954,0,63463,13,250,1,8228,5
"474",52005,0,11870,15,100,1,8228,4
"475",45494,0,5021,16,600,2,8228,4
"476",171509,0,40090,55,6381,23,8151,1
"477",235947,0,3982,16,0,0,8145,4
"478",153108,0,25802,14,500,1,8137,4
"479",260261,0,33047,21,0,0,8146,5
"480",80223,0,21248,26,2050,7,8121,4
"481",38716,0,8253,21,0,0,8114,4
"482",1125076,0,23046,14,0,0,8107,5
"483",10954,500,2500,1,0,0,8095,4
"484",97099,0,6325,21,1700,5,8085,4
"485",62396,2128,1250,3,0,0,8075,4
"486",40645,0,18348,13,0,0,8067,4
"487",82655,0,101101,19,700,2,8057,5
"488",84035,0,4240,6,1600,4,8114,4
"489",1199220,2919,3800,19,3300,18,8023,1
"490",86345,0,13415,16,350,2,8009,4
"491",2701,0,5000,10,0,0,8002,4
"492",46874,0,9689,38,500,1,7990,3
"493",10879,0,78186,32,3400,12,7981,1
"494",12742,0,0,0,0,0,7966,4
"495",122904,0,37380,21,1300,4,7956,5
"496",10994,0,1250,3,0,0,8007,4
"497",2318,0,8747,14,0,0,7945,4
"498",11070,0,0,0,0,0,7939,4
"499",21921,0,0,0,0,0,7939,4
"500",162521,0,57354,25,0,0,8105,5
"501",207545,0,11137,34,4387,12,8105,1
"502",86112,0,35528,22,0,0,8105,4
"503",18328,0,0,0,0,0,6790,4
"504",217557,0,97584,19,550,2,6679,5
"505",11504,0,100,1,0,0,6675,4
"506",143200,0,79837,28,50,1,6667,5
"507",160703,0,32560,12,0,0,6666,4
"508",910,0,5172,13,0,0,6662,4
"509",94105,0,100,1,0,0,6676,4
"510",18422,0,3297,13,0,0,6653,4
"511",889456,1024,98959,29,850,4,6652,5
"512",9800,589,10348,34,3000,25,6651,1
"513",148318,0,51197,22,350,2,6648,5
"514",26149,0,5190,6,0,0,6646,4
"515",76933,0,28075,17,0,0,6646,4
"516",346178,0,63803,16,0,0,6645,5
"517",22878,0,9039,32,0,0,6641,3
"518",66741,2880,71921,30,2600,7,6638,5
"519",134060,0,46606,13,0,0,6637,5
"520",3305,0,31465,24,1700,10,6633,3
"521",28930,0,8185,17,0,0,6630,4
"522",208519,0,4040,6,450,2,6627,4
"523",58951,0,47994,15,500,1,6625,4
"524",25395,0,2000,1,0,0,6624,4
"525",109248,0,6828,11,0,0,6618,4
"526",43387,0,4942,13,0,0,6613,4
"527",52423,0,26926,13,0,0,6611,4
"528",26858,500,34308,17,900,3,6606,4
"529",5410,0,45890,22,0,0,6603,3
"530",18177,0,12040,12,0,0,6690,4
"531",413509,0,2500,1,0,0,6598,4
"532",98472,1776,124421,45,10250,28,6621,1
"533",86520,3445,64450,20,1000,2,6592,5
"534",16648,0,625,4,0,0,6588,4
"535",267404,0,263685,51,3000,6,6584,5
"536",31478,0,18885,18,0,0,6578,4
"537",17445,0,4500,3,500,1,6576,4
"538",49052,0,46718,17,0,0,6575,3
"539",21689,0,0,0,0,0,6570,4
"540",18302,0,2197,10,0,0,6569,4
"541",26220,0,2775,11,0,0,6647,4
"542",59552,0,7551,22,0,0,6473,4
"543",34962,0,252,3,0,0,6208,4
"544",16153,0,180,1,0,0,6491,4
"545",28931,0,6500,4,500,1,6354,4
"546",202636,0,19000,5,0,0,6119,4
"547",153962,0,90992,21,0,0,6567,5
"548",63311,0,25048,14,0,0,6634,4
"549",8561,0,2050,8,1300,2,6675,4
"550",256219,0,29823,33,6568,16,6561,1
"551",122700,0,18604,13,0,0,6556,4
"552",81419,0,7769,12,350,1,6599,4
"553",13873,0,4833,20,0,0,6519,4
"554",148,0,190,2,0,0,6507,4
"555",178919,0,23387,17,0,0,6555,4
"556",19702,0,3000,1,0,0,6554,4
"557",18820,0,0,0,0,0,6549,4
"558",213849,0,500,1,0,0,6549,4
"559",28077,0,735,6,500,1,6575,4
"560",4528,0,290,1,0,0,6565,4
"561",40418,0,12678,12,0,0,6541,4
"562",380930,0,22485,25,213,1,6539,5
"563",176849,0,7700,11,950,4,6539,4
"564",71235,0,41004,14,0,0,6535,4
"565",76446,0,63811,17,0,0,6550,5
"566",148915,0,23522,16,650,2,6532,4
"567",65034,0,14331,16,800,3,6541,4
"568",35738,0,41264,16,0,0,6526,4
"569",313,0,1600,1,0,0,6525,4
"570",55703,0,0,0,0,0,6520,4
"571",11613,0,2000,1,0,0,6519,4
"572",65672,0,29089,13,0,0,6529,4
"573",84785,0,4570,14,0,0,6514,4
"574",30592,862,2602,7,0,0,6512,4
"575",99293,0,81040,23,1000,2,6508,5
"576",51830,0,0,0,0,0,6507,4
"577",20126,0,78999,28,800,3,6506,5
"578",3294,0,1330,2,0,0,6498,4
"579",11143,0,2800,6,800,5,6529,4
"580",8250,0,250,2,0,0,6486,4
"581",117670,0,53043,19,550,1,6505,5
"582",49454,0,9548,22,250,1,6501,4
"583",58421,0,1000,1,0,0,6532,4
"584",33443,0,0,0,0,0,6476,4
"585",13886,0,0,0,0,0,6465,4
"586",15349,0,250,2,0,0,6457,4
"587",78712,0,0,0,0,0,6433,4
"588",89742,0,39073,13,0,0,6498,4
"589",31311,0,3961,10,0,0,6494,4
"590",133445,8264,3375,13,0,0,6492,5
"591",136161,0,6032,15,0,0,6463,4
"592",9998,0,0,0,0,0,6448,4
"593",37904,0,19052,17,0,0,6487,4
"594",41243,0,27971,7,300,1,6483,4
"595",54011,1604,38380,20,5780,4,6487,1
"596",5351,0,100,1,0,0,6450,4
"597",23334,0,0,0,0,0,6441,4
"598",11255,0,0,0,0,0,6428,4
"599",48127,0,41447,28,0,0,6421,3
"600",329497,0,57264,12,0,0,6484,5
"601",158895,0,41954,15,0,0,6525,5
"602",34540,0,27882,13,0,0,6494,4
"603",117623,0,86582,26,1000,6,6477,5
"604",126409,0,28460,13,0,0,6478,4
"605",112843,0,16137,14,0,0,6472,4
"606",117240,0,1200,3,700,2,6471,4
"607",7216,0,21419,18,0,0,6470,4
"608",26412,0,5086,2,0,0,6552,4
"609",427528,0,35098,16,1600,3,6465,5
"610",1846,0,450,1,0,0,6471,4
"611",45830,0,23404,10,0,0,6459,4
"612",179042,0,25078,50,3350,15,6456,1
"613",41487,500,10885,7,0,0,6451,4
"614",39601,0,3733,9,0,0,6450,4
"615",46142,0,14445,13,0,0,6452,4
"616",110277,0,37110,18,1500,3,6445,5
"617",122928,0,12211,14,0,0,6443,4
"618",146599,0,16463,16,1000,2,6444,4
"619",338656,0,52908,16,0,0,6444,5
"620",54125,0,48874,17,450,3,6463,3
"621",29861,0,28190,15,0,0,6407,4
"622",126148,0,6273,8,0,0,6435,4
"623",62080,2975,19113,32,10650,28,6434,1
"624",175131,0,53495,15,0,0,6431,5
"625",365918,0,83752,23,1373,7,6429,5
"626",105547,0,24973,26,500,1,6415,3
"627",67615,0,14168,13,0,0,6413,4
"628",33554,0,27410,16,350,1,6428,4
"629",163083,0,3825,9,450,4,6428,4
