"","Balance","QualMiles","BonusMiles","BonusTrans","FlightMiles","FlightTrans","DaysSinceEnroll","hcluster"
"61",134457,0,15588,14,0,0,6861,4
"62",19918,0,17601,11,0,0,6863,1
"63",10120,0,0,0,0,0,6864,1
"64",362642,0,28079,8,0,0,6835,3
"65",80250,0,895,2,0,0,6833,2
"66",53914,0,33767,45,5550,29,6826,2
"67",9375,0,1750,7,0,0,6826,1
"68",83237,0,35287,18,0,0,6837,2
"69",230715,0,24047,12,0,0,6826,5
"70",47457,0,12621,16,0,0,7766,2
"71",84409,5031,15436,16,1150,4,7766,2
"72",252386,0,39787,13,0,0,7787,5
"73",550367,0,12500,13,50,1,7801,3
"74",12646,0,631,4,631,4,7787,1
"75",123867,0,25308,17,0,0,7759,4
"76",129871,0,15776,22,0,0,7752,4
"77",109380,0,7537,16,0,0,7749,4
"78",111157,0,32883,19,0,0,7771,4
"79",49238,0,38037,18,0,0,7801,2
"80",38896,0,76988,16,556,1,7771,2
"81",4340,0,32685,5,0,0,7733,1
"82",88443,0,1200,3,1200,3,6837,2
"83",8454,0,498,9,0,0,6821,1
"84",61990,0,1625,6,0,0,6833,2
"85",24093,0,1750,7,0,0,6819,1
"86",35418,0,58557,18,900,3,6813,2
"87",40284,0,7719,5,0,0,6827,2
"88",609477,0,21422,22,1200,8,6820,3
"89",62553,0,7672,16,700,1,6819,2
"90",48433,0,3500,4,500,1,6807,2
"91",20508,0,22250,8,1250,5,6794,1
"92",2000,0,2000,4,2000,4,6809,1
"93",78629,0,36679,25,0,0,6817,2
"94",143566,0,5000,5,1500,3,6785,4
"95",185549,0,110859,39,2950,16,6778,5
"96",16796,0,2875,16,0,0,6773,1
"97",57346,0,5560,23,0,0,6766,2
"98",102062,0,44247,16,0,0,6758,2
"99",22324,0,1375,4,0,0,6753,1
"100",64824,0,20184,13,0,0,6770,2
"101",25076,1182,57203,14,0,0,6750,2
"102",8053,0,0,0,0,0,6750,1
"103",35119,0,0,0,0,0,6749,1
"104",28667,0,3861,7,2050,5,6749,1
"105",34327,0,0,0,0,0,6745,1
"106",3734,0,61096,18,150,2,6760,2
"107",96627,1182,49059,26,2300,9,6738,2
"108",43498,0,0,0,0,0,6759,2
"109",84674,0,46335,14,50,1,6738,2
"110",15098,0,32917,26,550,3,6737,1
"111",181019,0,18415,15,0,0,7714,4
"112",298911,0,8550,11,2550,8,7714,5
"113",124198,0,66330,23,4833,10,7710,4
"114",56906,0,2015,13,0,0,7707,2
"115",295638,0,5422,20,818,2,7700,5
"116",67018,0,23260,25,0,0,7698,2
"117",143967,0,7346,11,0,0,7689,4
"118",969559,0,2500,3,1000,2,7718,3
"119",122705,0,24222,15,0,0,7682,4
"120",16583,0,2625,7,0,0,7682,1
"121",77540,0,1000,1,0,0,7683,2
"122",205126,0,126630,45,2250,10,7668,5
"123",81974,0,37266,18,1050,3,7661,2
"124",47258,0,24768,19,0,0,7659,2
"125",77699,0,42775,13,0,0,7654,2
"126",133954,500,37670,18,1500,3,7654,4
"127",602064,0,194753,26,2250,10,7652,3
"128",213150,0,56308,41,5200,14,7645,5
"129",48333,0,10123,14,0,0,6737,2
"130",142175,0,37461,22,0,0,6732,4
"131",17469,0,0,0,0,0,6730,1
"132",19823,0,1095,3,335,1,6730,1
"133",145074,0,8000,4,0,0,6746,4
"134",101101,0,10850,11,1850,6,6725,2
"135",125948,0,15155,15,0,0,6761,4
"136",259484,1776,19172,26,7172,23,6723,5
"137",129298,0,29099,15,0,0,6722,4
"138",103302,0,53552,22,700,3,6718,2
"139",160447,0,8578,25,0,0,6716,4
"140",15472,0,3500,14,0,0,6715,1
"141",39628,0,0,0,0,0,6711,1
"142",6112,0,0,0,0,0,6709,1
"143",31769,0,450,2,450,2,6707,1
"144",126787,0,35021,17,0,0,6701,4
"145",41547,0,16857,17,0,0,6697,2
"146",100640,0,7600,8,1600,5,6708,2
"147",18707,0,100,1,0,0,6693,1
"148",50593,0,58208,17,1500,2,6689,2
"149",84631,0,20415,17,0,0,6736,2
"150",24868,0,205,5,0,0,6689,1
"151",77097,0,42403,22,1718,4,6683,2
"152",930410,0,211284,18,2250,6,7640,3
"153",298121,0,60808,20,500,1,7640,5
"154",87474,0,4581,15,0,0,7634,2
"155",48707,0,37655,14,0,0,7631,2
"156",220081,0,52574,21,500,1,7626,5
"157",212976,0,19926,12,0,0,7624,5
"158",44182,0,12313,12,0,0,7619,2
"159",228829,0,59852,21,0,0,7612,5
"160",46823,0,5860,12,0,0,7613,2
"161",69110,0,18500,19,0,0,7598,2
"162",120700,0,55323,17,1500,1,7598,4
"163",152945,0,18604,6,3604,2,7598,4
"164",10302,0,30298,19,0,0,7591,1
"165",80331,0,15489,18,0,0,7634,2
"166",69882,0,180,6,0,0,7582,2
"167",95658,0,5269,18,0,0,7584,2
"168",402874,0,74800,15,0,0,7582,3
"169",370941,0,44615,16,0,0,7577,3
"170",21694,0,45230,20,700,2,7575,2
"171",71767,0,67335,13,0,0,7570,2
"172",35820,0,0,0,0,0,7575,1
"173",352508,0,23740,6,1000,2,7563,3
"174",149285,0,15656,13,3250,6,7561,4
"175",120941,0,42301,21,0,0,7588,4
"176",451673,0,43533,19,900,4,7575,3
"177",106961,0,7357,19,200,2,7572,4
"178",28086,1745,7368,12,0,0,7549,1
"179",60230,0,500,1,0,0,7544,2
"180",6663,0,1125,7,750,4,7575,1
"181",48145,0,10735,27,0,0,7540,2
"182",127807,0,17086,16,1500,3,7537,4
"183",32948,0,50,1,50,1,7569,1
"184",8933,0,8860,14,0,0,7533,1
"185",49885,0,23640,17,0,0,7533,2
"186",89999,0,11694,13,0,0,7530,2
"187",707079,0,57173,40,3450,12,7523,3
"188",211595,0,3250,8,0,0,7521,5
"189",410795,0,73679,31,0,0,7514,3
"190",72173,0,2954,13,232,1,7509,2
"191",123516,0,240544,31,500,2,7507,2
"192",143080,733,44373,38,3928,17,7575,4
"193",386061,0,107813,24,0,0,7500,3
"194",52738,2398,0,0,0,0,7498,2
"195",24523,0,100,1,0,0,7493,1
"196",134601,0,0,0,0,0,7493,4
"197",32742,0,61857,26,0,0,7488,2
"198",108341,0,19670,21,0,0,7488,4
"199",8669,0,11397,16,0,0,7486,1
"200",118940,0,36001,17,150,1,7484,4
"201",41385,0,26948,14,0,0,7481,2
"202",28621,0,13878,20,1400,10,7479,1
"203",16230,0,486,2,0,0,7477,1
"204",152881,0,79687,18,500,1,7474,4
"205",37348,0,0,0,0,0,7472,1
"206",51468,0,2278,9,0,0,7460,2
"207",95989,0,92159,30,1329,4,7518,2
"208",23184,1250,3694,12,1150,3,7467,1
"209",27381,0,18009,18,0,0,7524,1
"210",6854,0,0,0,0,0,7467,1
"211",201346,0,99612,34,600,4,7463,5
"212",31588,0,2947,8,0,0,7463,1
"213",204582,0,4671,14,0,0,7498,5
"214",8298,0,20087,15,0,0,7498,1
"215",10097,0,2700,1,2700,1,7498,1
"216",114356,0,27308,14,0,0,7456,4
"217",1344,0,1134,9,0,0,7498,1
"218",59797,0,7069,4,0,0,7444,2
"219",189053,0,24156,22,0,0,7439,5
"220",143481,0,45891,15,0,0,7437,4
"221",1302051,2706,90653,32,3050,7,7467,3
"222",229744,0,68754,35,550,2,7467,5
"223",75039,0,2750,10,250,1,7435,2
"224",20203,0,750,6,0,0,7467,1
"225",193976,0,10849,14,0,0,7416,5
"226",98224,0,5570,11,0,0,7467,2
"227",117329,0,6448,11,0,0,7416,4
"228",119239,0,36362,15,250,1,7467,4
"229",53715,0,7164,15,300,2,7416,2
"230",153747,0,58689,15,0,0,7409,4
"231",133309,0,23987,13,0,0,7415,4
"232",81380,0,56524,22,0,0,7404,2
"233",22074,0,6039,15,0,0,7404,1
"234",24051,0,8764,13,0,0,7395,1
"235",11449,0,9057,13,0,0,7397,1
"236",182317,0,19489,17,273,1,7397,4
"237",46184,0,3125,12,500,1,7388,2
"238",285116,0,8471,18,500,1,7406,5
"239",30962,0,97683,37,6400,18,7360,2
"240",15525,0,3853,6,0,0,7406,1
"241",163530,0,88987,25,0,0,7406,5
"242",2075,0,5002,14,0,0,7374,1
"243",227881,0,41186,13,0,0,7369,5
"244",118934,0,66222,37,2250,17,7354,4
"245",468175,0,141615,22,0,0,7348,3
"246",12526,0,56076,19,3850,11,7375,2
"247",176090,0,5300,9,2200,6,7344,5
"248",15221,0,4425,9,0,0,7361,1
"249",92875,0,60990,14,0,0,7344,2
"250",88702,0,9620,13,50,1,7406,2
"251",62882,0,1925,8,0,0,7375,2
"252",30015,0,5875,32,0,0,7341,1
"253",87293,0,21584,17,1050,2,7406,2
"254",45225,0,14711,15,0,0,7339,2
"255",96098,0,12500,4,0,0,7339,2
"256",236274,0,61515,12,0,0,7375,5
"257",423540,0,8534,14,2100,9,7375,3
"258",25279,0,14938,26,0,0,7327,1
"259",198137,0,6303,6,500,1,7323,5
"260",402312,0,77122,18,250,3,7375,3
"261",149733,0,605,3,500,1,7323,4
"262",70730,0,1319,12,0,0,7316,2
"263",164613,0,11095,13,0,0,7375,4
"264",47557,0,10267,18,200,3,7345,2
"265",35065,0,5400,5,1400,3,7311,1
"266",105769,0,23097,16,0,0,7345,4
"267",35900,0,0,0,0,0,7304,1
"268",43088,0,4000,1,0,0,7345,2
"269",58703,0,46473,34,950,4,7296,2
"270",70354,0,120907,22,0,0,7290,2
"271",145726,0,19019,15,0,0,7292,4
"272",121639,0,67286,7,0,0,7288,4
"273",70676,0,74993,15,0,0,7288,2
"274",18263,0,2100,4,1000,2,7285,1
"275",51250,0,0,0,0,0,7283,2
"276",1704838,0,17108,32,4823,23,7283,3
"277",12895,0,0,0,0,0,7277,1
"278",120073,0,12423,29,0,0,7276,4
"279",2003,0,980,2,0,0,7274,1
"280",22652,0,57642,14,0,0,7271,2
"281",168515,0,4600,4,0,0,7269,4
"282",44873,0,38740,18,850,2,7267,2
"283",190542,1745,8487,9,0,0,7267,5
"284",156230,0,5300,8,1300,5,7260,4
"285",79211,0,36776,14,0,0,7260,2
"286",98006,0,46349,20,2309,3,7332,2
"287",33982,0,68320,17,0,0,7255,2
"288",62998,0,11326,24,0,0,7253,2
"289",137908,0,57713,19,0,0,7250,4
"290",45586,0,37459,15,0,0,7246,2
"291",568174,0,67121,16,1000,2,7243,3
"292",145993,0,95082,17,500,1,7229,4
"293",294881,0,84800,20,0,0,7279,5
"294",12195,0,3875,17,0,0,7229,1
"295",16622,0,0,0,0,0,7229,1
"296",141813,0,39743,14,0,0,7254,4
"297",58139,500,38408,16,150,1,7227,2
"298",238868,0,20521,16,0,0,7220,5
"299",149286,0,42141,30,2400,13,7222,4
"300",35945,0,0,0,0,0,7220,1
"301",28218,0,750,4,750,4,7232,1
"302",7061,0,7100,12,0,0,7218,1
"303",217846,0,49198,20,0,0,7215,5
"304",364387,0,28200,27,0,0,7213,3
"305",125465,0,14750,9,0,0,7206,4
"306",94222,0,52081,24,0,0,7201,2
"307",123370,0,7478,16,0,0,7197,4
"308",383030,2998,8001,25,3226,15,7326,3
"309",112969,0,7572,7,0,0,7192,4
"310",46430,0,2100,4,500,1,7194,2
"311",179433,0,30476,15,0,0,7187,4
"312",20746,0,37534,17,0,0,7185,2
"313",61455,0,28765,17,0,0,7183,2
"314",714717,0,119162,20,1750,4,7183,3
"315",179559,0,17819,12,1000,2,7173,4
"316",119977,2556,9275,16,1400,4,7226,4
"317",16928,0,1000,1,0,0,7173,1
"318",65316,0,3917,10,0,0,7254,2
"319",766419,0,11398,3,398,1,7162,3
"320",52060,0,6500,3,0,0,7162,2
"321",84700,0,13544,17,0,0,7162,2
"322",205523,0,32404,20,1000,2,7159,5
"323",20457,0,51399,16,0,0,7193,2
"324",278727,0,21666,19,9166,16,7155,5
"325",50325,0,11930,14,0,0,7155,2
"326",455228,0,258,2,258,2,7141,3
"327",73849,0,11793,21,0,0,7250,2
"328",388455,0,114329,26,6078,8,7164,3
"329",138999,0,63738,29,600,4,7153,4
"330",65573,0,3875,23,0,0,7130,2
"331",172288,0,66879,10,0,0,7130,4
"332",47958,0,0,0,0,0,7130,2
"333",133002,0,15672,21,150,1,7117,4
"334",42363,0,0,0,0,0,7120,2
"335",133370,0,44299,18,0,0,7101,4
"336",278457,6727,57313,27,1000,2,7101,5
"337",105166,1374,37663,22,0,0,7120,4
"338",34956,0,0,0,0,0,7172,1
"339",46963,0,1500,5,0,0,7117,2
"340",55788,0,24831,12,0,0,7314,2
"341",174910,0,63960,20,200,1,7110,4
"342",13812,0,15149,39,0,0,7110,1
"343",38718,0,0,0,0,0,7314,1
"344",112501,0,19140,11,0,0,7101,4
"345",54005,0,1500,5,0,0,7099,2
"346",66863,0,36532,9,0,0,7099,2
"347",93045,0,17636,15,0,0,7092,2
"348",197328,0,60447,12,0,0,7092,5
"349",151301,0,37772,14,0,0,7092,4
"350",87938,0,11268,2,0,0,7085,2
"351",15283,0,1250,3,0,0,7132,1
"352",105423,0,20802,14,0,0,7078,4
"353",312512,0,100,1,100,1,7078,3
"354",13680,0,0,0,0,0,7073,1
"355",41279,0,14462,20,1650,6,7064,2
"356",25313,0,7491,13,0,0,7064,1
"357",148691,0,3000,3,1000,2,7064,4
"358",224081,0,40108,15,150,2,7059,5
"359",51088,0,0,0,0,0,7057,2
"360",95305,0,3189,13,0,0,7054,2
"361",22080,0,12200,47,1950,9,7050,1
"362",11660,0,140,1,0,0,7050,1
"363",222227,0,38127,14,500,1,7047,5
"364",16200,0,160,1,0,0,7043,1
"365",38227,0,8612,13,0,0,7036,2
"366",80214,0,500,1,500,1,7029,2
"367",53985,0,1000,1,0,0,7029,2
"368",14414,0,0,0,0,0,7024,1
"369",44457,0,225,3,0,0,7026,2
"370",161813,0,126941,20,0,0,7026,4
"371",138020,0,6568,15,0,0,7024,4
"372",107707,0,19407,25,2211,12,7024,4
"373",95656,0,62666,27,0,0,7019,2
"374",149678,0,0,0,0,0,7022,4
"375",15113,0,10574,19,0,0,7017,1
"376",231,0,29900,24,5300,15,7015,1
"377",22380,0,300,2,200,1,7010,1
"378",146263,0,20853,21,350,1,7001,4
"379",24598,0,0,0,0,0,7040,1
"380",76150,0,36907,17,0,0,6998,2
"381",377252,0,230629,30,6393,13,6996,3
"382",167670,0,15907,13,0,0,6994,4
"383",86853,0,42293,21,500,1,6980,2
"384",479989,0,66516,26,1600,6,6980,3
"385",28193,0,103456,32,0,0,6980,2
"386",67086,0,18157,16,0,0,6974,2
"387",35969,0,11665,21,0,0,6977,2
"388",53790,0,28717,19,0,0,8296,2
"389",198859,0,17855,14,500,1,8296,5
"390",91939,0,1244,8,0,0,8296,2
"391",88449,0,11402,18,1450,5,8296,2
"392",54842,0,20792,15,0,0,8296,2
"393",11189,0,9044,20,0,0,8296,1
"394",16999,0,140,1,0,0,8296,1
"395",114713,0,7142,18,0,0,8296,4
"396",1612,0,955,9,0,0,8296,1
"397",97763,0,2000,9,0,0,8296,2
"398",15129,0,0,0,0,0,8296,1
"399",15669,0,1205,4,0,0,8296,1
"400",26720,0,913,3,0,0,8296,1
"401",205292,0,5471,13,0,0,8296,5
"402",56635,0,1024,8,359,2,8296,2
"403",127297,0,8510,12,0,0,8296,4
"404",8927,0,0,0,0,0,8296,1
"405",507506,1952,102279,32,4485,13,8296,3
"406",145723,0,59858,16,0,0,8296,4
"407",6458,0,0,0,0,0,8296,1
"408",267640,0,6000,3,0,0,8296,5
"409",5581,0,0,0,0,0,8296,1
"410",10732,0,1296,6,0,0,8296,1
"411",620498,0,25395,53,1750,14,8296,3
"412",68963,0,37723,15,0,0,8296,2
"413",109640,0,66983,38,5500,17,8296,4
"414",225802,0,74340,16,200,2,8296,5
"415",58452,0,0,0,0,0,8296,2
"416",109087,0,10462,16,0,0,8296,4
"417",68286,0,22831,13,0,0,8296,2
"418",68464,0,240,3,0,0,8296,2
"419",131960,2000,16081,8,0,0,8296,4
"420",199956,1178,0,0,0,0,8296,5
"421",529886,7210,23866,26,7741,15,8296,3
"422",23529,0,500,1,0,0,8296,1
"423",190295,0,3501,15,0,0,8296,5
"424",21083,0,129330,16,1000,2,8296,2
"425",117860,0,62758,15,0,0,8296,4
"426",118844,0,28731,17,400,2,8289,4
"427",60493,0,9000,1,0,0,8289,2
"428",491987,0,68007,23,700,2,8289,3
"429",87692,0,2310,6,500,1,8289,2
"430",78028,0,36269,24,0,0,8289,2
"431",251286,0,0,0,0,0,8289,5
"432",17575,0,0,0,0,0,8289,1
"433",50431,0,1000,1,0,0,8289,2
"434",153597,0,56567,18,0,0,8289,4
"435",74579,0,4600,11,600,8,8289,2
"436",2494,0,0,0,0,0,8289,1
"437",96031,0,46588,21,0,0,8289,2
"438",353678,0,141230,28,1450,5,8289,3
"439",50052,0,49383,13,0,0,8289,2
"440",13381,0,1000,8,0,0,8289,1
"441",25123,0,2030,6,0,0,8289,1
"442",132555,0,24775,31,350,1,8289,4
"443",14528,0,6000,7,3000,6,8289,1
"444",24038,0,6290,14,0,0,8289,1
"445",192104,0,39010,53,1750,8,8289,5
"446",106773,0,12900,10,1400,8,8289,4
"447",229397,0,22873,13,0,0,8289,5
"448",14732,0,100,1,0,0,8289,1
"449",383129,0,23608,16,500,1,8289,3
"450",11431,0,1759,4,759,3,8289,1
"451",175461,0,40997,14,0,0,8289,4
"452",52953,0,500,1,0,0,8289,2
"453",182291,0,24155,22,0,0,8289,4
"454",198317,0,61714,16,0,0,8289,5
"455",49053,0,6498,18,950,5,8289,2
"456",22772,0,0,0,0,0,8289,1
"457",34170,0,15476,20,150,1,8289,2
"458",158483,0,9018,11,0,0,8289,4
"459",43285,0,28613,14,0,0,8252,2
"460",52980,0,17078,14,0,0,8237,2
"461",74342,0,4389,12,0,0,8228,2
"462",139849,0,19946,15,0,0,8228,4
"463",26080,0,9872,13,0,0,8228,1
"464",29469,0,2522,4,0,0,8228,1
"465",189252,0,2991,15,0,0,8228,5
"466",382546,0,136619,34,3000,6,8228,3
"467",1113394,2015,60883,26,2600,9,8228,3
"468",459681,0,95531,17,0,0,8228,3
"469",83590,0,3708,22,0,0,8228,2
"470",82528,0,2100,5,600,4,8228,2
"471",5600,0,125,1,0,0,8228,1
"472",743745,2066,4100,20,2500,18,8228,3
"473",43954,0,63463,13,250,1,8228,2
"474",52005,0,11870,15,100,1,8228,2
"475",45494,0,5021,16,600,2,8228,2
"476",171509,0,40090,55,6381,23,8151,4
"477",235947,0,3982,16,0,0,8145,5
"478",153108,0,25802,14,500,1,8137,4
"479",260261,0,33047,21,0,0,8146,5
"480",80223,0,21248,26,2050,7,8121,2
"481",38716,0,8253,21,0,0,8114,2
"482",1125076,0,23046,14,0,0,8107,3
"483",10954,500,2500,1,0,0,8095,1
"484",97099,0,6325,21,1700,5,8085,2
"485",62396,2128,1250,3,0,0,8075,2
"486",40645,0,18348,13,0,0,8067,2
"487",82655,0,101101,19,700,2,8057,2
"488",84035,0,4240,6,1600,4,8114,2
"489",1199220,2919,3800,19,3300,18,8023,3
"490",86345,0,13415,16,350,2,8009,2
"491",2701,0,5000,10,0,0,8002,1
"492",46874,0,9689,38,500,1,7990,2
"493",10879,0,78186,32,3400,12,7981,2
"494",12742,0,0,0,0,0,7966,1
"495",122904,0,37380,21,1300,4,7956,4
"496",10994,0,1250,3,0,0,8007,1
"497",2318,0,8747,14,0,0,7945,1
"498",11070,0,0,0,0,0,7939,1
"499",21921,0,0,0,0,0,7939,1
"500",162521,0,57354,25,0,0,8105,4
"501",207545,0,11137,34,4387,12,8105,5
"502",86112,0,35528,22,0,0,8105,2
"503",18328,0,0,0,0,0,6790,1
"504",217557,0,97584,19,550,2,6679,5
"505",11504,0,100,1,0,0,6675,1
"506",143200,0,79837,28,50,1,6667,4
"507",160703,0,32560,12,0,0,6666,4
"508",910,0,5172,13,0,0,6662,1
"509",94105,0,100,1,0,0,6676,2
"510",18422,0,3297,13,0,0,6653,1
"511",889456,1024,98959,29,850,4,6652,3
"512",9800,589,10348,34,3000,25,6651,1
"513",148318,0,51197,22,350,2,6648,4
"514",26149,0,5190,6,0,0,6646,1
"515",76933,0,28075,17,0,0,6646,2
"516",346178,0,63803,16,0,0,6645,3
"517",22878,0,9039,32,0,0,6641,1
"518",66741,2880,71921,30,2600,7,6638,2
"519",134060,0,46606,13,0,0,6637,4
"520",3305,0,31465,24,1700,10,6633,1
"521",28930,0,8185,17,0,0,6630,1
"522",208519,0,4040,6,450,2,6627,5
"523",58951,0,47994,15,500,1,6625,2
"524",25395,0,2000,1,0,0,6624,1
"525",109248,0,6828,11,0,0,6618,4
"526",43387,0,4942,13,0,0,6613,2
"527",52423,0,26926,13,0,0,6611,2
"528",26858,500,34308,17,900,3,6606,2
"529",5410,0,45890,22,0,0,6603,2
"530",18177,0,12040,12,0,0,6690,1
"531",413509,0,2500,1,0,0,6598,3
"532",98472,1776,124421,45,10250,28,6621,2
"533",86520,3445,64450,20,1000,2,6592,2
"534",16648,0,625,4,0,0,6588,1
"535",267404,0,263685,51,3000,6,6584,3
"536",31478,0,18885,18,0,0,6578,2
"537",17445,0,4500,3,500,1,6576,1
"538",49052,0,46718,17,0,0,6575,2
"539",21689,0,0,0,0,0,6570,1
"540",18302,0,2197,10,0,0,6569,1
"541",26220,0,2775,11,0,0,6647,1
"542",59552,0,7551,22,0,0,6473,2
"543",34962,0,252,3,0,0,6208,1
"544",16153,0,180,1,0,0,6491,1
"545",28931,0,6500,4,500,1,6354,1
"546",202636,0,19000,5,0,0,6119,5
"547",153962,0,90992,21,0,0,6567,4
"548",63311,0,25048,14,0,0,6634,2
"549",8561,0,2050,8,1300,2,6675,1
"550",256219,0,29823,33,6568,16,6561,5
"551",122700,0,18604,13,0,0,6556,4
"552",81419,0,7769,12,350,1,6599,2
"553",13873,0,4833,20,0,0,6519,1
"554",148,0,190,2,0,0,6507,1
"555",178919,0,23387,17,0,0,6555,4
"556",19702,0,3000,1,0,0,6554,1
"557",18820,0,0,0,0,0,6549,1
"558",213849,0,500,1,0,0,6549,5
"559",28077,0,735,6,500,1,6575,1
"560",4528,0,290,1,0,0,6565,1
"561",40418,0,12678,12,0,0,6541,2
"562",380930,0,22485,25,213,1,6539,3
"563",176849,0,7700,11,950,4,6539,5
"564",71235,0,41004,14,0,0,6535,2
"565",76446,0,63811,17,0,0,6550,2
"566",148915,0,23522,16,650,2,6532,4
"567",65034,0,14331,16,800,3,6541,2
"568",35738,0,41264,16,0,0,6526,2
"569",313,0,1600,1,0,0,6525,1
"570",55703,0,0,0,0,0,6520,2
"571",11613,0,2000,1,0,0,6519,1
"572",65672,0,29089,13,0,0,6529,2
"573",84785,0,4570,14,0,0,6514,2
"574",30592,862,2602,7,0,0,6512,1
"575",99293,0,81040,23,1000,2,6508,2
"576",51830,0,0,0,0,0,6507,2
"577",20126,0,78999,28,800,3,6506,2
"578",3294,0,1330,2,0,0,6498,1
"579",11143,0,2800,6,800,5,6529,1
"580",8250,0,250,2,0,0,6486,1
"581",117670,0,53043,19,550,1,6505,4
"582",49454,0,9548,22,250,1,6501,2
"583",58421,0,1000,1,0,0,6532,2
"584",33443,0,0,0,0,0,6476,1
"585",13886,0,0,0,0,0,6465,1
"586",15349,0,250,2,0,0,6457,1
"587",78712,0,0,0,0,0,6433,2
"588",89742,0,39073,13,0,0,6498,2
"589",31311,0,3961,10,0,0,6494,1
"590",133445,8264,3375,13,0,0,6492,4
"591",136161,0,6032,15,0,0,6463,4
"592",9998,0,0,0,0,0,6448,1
"593",37904,0,19052,17,0,0,6487,2
"594",41243,0,27971,7,300,1,6483,2
"595",54011,1604,38380,20,5780,4,6487,2
"596",5351,0,100,1,0,0,6450,1
"597",23334,0,0,0,0,0,6441,1
"598",11255,0,0,0,0,0,6428,1
"599",48127,0,41447,28,0,0,6421,2
"600",329497,0,57264,12,0,0,6484,3
"601",158895,0,41954,15,0,0,6525,4
"602",34540,0,27882,13,0,0,6494,2
"603",117623,0,86582,26,1000,6,6477,4
"604",126409,0,28460,13,0,0,6478,4
"605",112843,0,16137,14,0,0,6472,4
"606",117240,0,1200,3,700,2,6471,4
"607",7216,0,21419,18,0,0,6470,1
"608",26412,0,5086,2,0,0,6552,1
"609",427528,0,35098,16,1600,3,6465,3
"610",1846,0,450,1,0,0,6471,1
"611",45830,0,23404,10,0,0,6459,2
"612",179042,0,25078,50,3350,15,6456,4
"613",41487,500,10885,7,0,0,6451,2
"614",39601,0,3733,9,0,0,6450,2
"615",46142,0,14445,13,0,0,6452,2
"616",110277,0,37110,18,1500,3,6445,4
"617",122928,0,12211,14,0,0,6443,4
"618",146599,0,16463,16,1000,2,6444,4
"619",338656,0,52908,16,0,0,6444,3
"620",54125,0,48874,17,450,3,6463,2
"621",29861,0,28190,15,0,0,6407,2
"622",126148,0,6273,8,0,0,6435,4
"623",62080,2975,19113,32,10650,28,6434,2
"624",175131,0,53495,15,0,0,6431,4
"625",365918,0,83752,23,1373,7,6429,3
"626",105547,0,24973,26,500,1,6415,4
"627",67615,0,14168,13,0,0,6413,2
"628",33554,0,27410,16,350,1,6428,2
"629",163083,0,3825,9,450,4,6428,4
